Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
pajamas,pə'ʤɑːməz,睡衣,Pajamas are comfortable clothes worn for sleeping.,「睡衣」是睡覺時穿的舒適衣物。,She changed into cotton pajamas before bed.,她睡前換上棉質睡衣。,pajamas_1397924728921.jpg,pajamas_1397924728921.mp3,,
pants,pænts,長褲,Pants are clothing that covers the body from the waist to the ankles with separate parts for each leg.,「褲子」是從腰部蓋到腳踝、兩腿分開的衣物。,He ironed his black pants for the meeting.,他為會議燙了黑色長褲。,pants_1397924728921.jpg,pants_1397924728921.mp3,,
prism,prɪz(ə)m,稜鏡,A prism is a transparent object with flat surfaces that bends light into colors.,「稜鏡」是具有平面的透明物體，能使光線折射成不同顏色。,Sunlight passing through a glass prism creates a rainbow.,陽光穿過玻璃三稜鏡會形成彩虹。,prism_1397924728921.jpg,prism.mp3,,
pyramid,pɪrəmɪd,金字塔,A pyramid is a 3D shape with a square base and triangular sides that meet at a point.,「金字塔」是底部為正方形、側面為三角形並匯聚於一點的立體形狀。,The Great Pyramid of Giza is in Egypt.,吉薩大金字塔位於埃及。,pyramid_1397924728921.jpg,pyramid.mp3,,
rectangle,rektæŋgl,矩形,A rectangle is a four-sided shape with four right angles and opposite sides equal.,「長方形」是有四個直角且對邊相等的四邊形。,A standard door is shaped like a rectangle.,標準的門形狀像長方形。,rectangle_1397924728921.jpg,rectangle.mp3,,
ring,rɪŋ,戒指,A ring is a circular band usually made of metal worn on the finger.,「戒指」是通常由金屬製成、戴在手指上的圓環。,He gave her a diamond engagement ring.,他送她一枚鑽石訂婚戒指。,ring_1397924728921.jpg,ring.mp3,,
scarf,skɑːf,圍巾,A scarf is a long piece of fabric worn around the neck for warmth or style.,「圍巾」是圍在脖子上的長條布料，用於保暖或造型。,She wrapped a wool scarf around her neck.,她把羊毛圍巾圍在脖子上。,scarf_1397924728921.jpg,scarf.mp3,,
semi-circle,ˈsɛmɪ-ˈsɜːk(ə)l,半圓,A semi-circle is half of a circle.,「半圓」是圓的一半。,The seating was arranged in a semi-circle.,座位排成半圓形。,semi-circle_1397924728921.jpg,semi-circle_1397924728921.mp3,,
shirt,ʃɜːt,襯衫,A shirt is a piece of clothing for the upper body with sleeves and a collar.,「襯衫」是帶袖子和領子的上身衣物。,He tucked his white shirt into his trousers.,他把白襯衫塞進長褲裡。,shirt_1397924728921.jpg,shirt.mp3,,
shoes,ʃuːs,鞋子,Shoes are footwear that cover the feet for protection and comfort.,「鞋子」是蓋住雙腳以提供保護和舒適的足部穿戴物。,She polished her leather shoes for the interview.,她為面試擦亮她的皮鞋。,shoes_1397924728921.jpg,shoes.mp3,,
shorts,ʃɔːts,短褲,Shorts are pants that end above the knee often worn in warm weather.,「短褲」是長度在膝蓋以上的褲子，常在天熱時穿著。,He wore running shorts to the gym.,他穿運動短褲去健身房。,shorts_1397924728921.jpg,shorts.mp3,,
skirt,skɜːt,裙子,A skirt is a garment that hangs from the waist and covers part or all of the legs.,「裙子」是從腰部垂下、蓋住部分或全部腿部的衣物。,She twirled in her polka-dot skirt.,她穿著波點裙轉圈。,skirt_1397924728921.jpg,skirt.mp3,,
slippers,slɪpəs,拖鞋,Slippers are soft comfortable shoes worn indoors.,「拖鞋」是在室內穿的柔軟舒適鞋子。,He shuffled around the house in fuzzy slippers.,他穿著毛絨拖鞋在家裡走來走去。,slippers_1397924728921.jpg,slippers.mp3,,
sneakers,sniːkəzs,運動鞋,Sneakers are soft shoes designed for sports or casual wear.,「運動鞋」是為運動或日常休閒設計的軟質鞋子。,She bought new sneakers for her morning jog.,她為晨跑買了新運動鞋。,sneakers_1397924728921.jpg,sneakers_1397924728921.mp3,,
socks,sɔks,襪子,Socks are cloth coverings for the feet worn inside shoes.,「襪子」是穿在鞋內、包覆雙腳的布料。,He lost one of his mismatched socks.,他弄丟了一隻不成對的襪子。,socks_1397924728921.jpg,socks.mp3,,
sphere,sfɪə,球體,A sphere is a perfectly round 3D shape like a ball.,「球體」是像球一樣完全圓的立體形狀。,The Earth is roughly shaped like a sphere.,地球大致呈球形。,sphere_1397924728921.jpg,sphere_1397924728921_1397924728921.mp3,,
square,skweə,正方形,A square is a four-sided shape with equal sides and right angles.,「正方形」是有四個等長邊和四個直角的四邊形。,The tiles on the floor were perfect squares.,地板上的磁磚是完美的正方形。,square_1397924728921.jpg,square.mp3,,
suit,s(j)uːt,西裝,A suit is a set of matching jacket and pants often worn for formal occasions.,「西裝」是一套搭配的外套與長褲，常在正式場合穿著。,He wore a navy suit to the wedding.,他穿深藍色西裝參加婚禮。,suit_1397924728921.jpg,suit_1397924728921_1397924728921.mp3,,
sunglasses,sʌnˌglɑːsɪz,太陽眼鏡,Sunglasses are dark-tinted glasses that protect eyes from bright sunlight.,「太陽眼鏡」是深色鏡片的眼鏡，用來保護眼睛免受強烈日光照射。,She put on her sunglasses at the beach.,她在海灘戴上太陽眼鏡。,sunglasses_1397924728921.jpg,sunglasses_1397924728921.mp3,,
sweater,swetə,毛衣,A sweater is a knitted garment for the upper body usually warm and cozy.,「毛衣」是針織的上身衣物，通常溫暖舒適。,He wore a thick sweater on the hiking trip.,他在健行時穿了一件厚毛衣。,sweater_1397924728921.jpg,sweater.mp3,,
sweatshirt,swetʃɜːt,運動衫,A sweatshirt is a casual long-sleeved top made of soft fabric often with a hood.,「運動衫」是柔軟材質的休閒長袖上衣，常帶有連帽。,He grabbed his gray sweatshirt before going out.,他出門前抓起灰色運動衫。,sweatshirt_1397924728921.jpg,sweatshirt.mp3,,
swimsuit,swɪm s(j)uːt,泳衣,A swimsuit is clothing worn for swimming or at the beach.,「泳裝」是游泳或在海灘穿的衣物。,She packed her swimsuit for the pool party.,她為泳池派對打包了泳衣。,swimsuit_1397924728921.jpg,swimsuit_1397924728921.mp3,,
tie,taɪ,領帶,A tie is a long piece of fabric worn around the neck with formal shirts.,「領帶」是搭配正式襯衫、繫在脖子上的長條布料。,He adjusted his silk tie in the mirror.,他在鏡子前調整絲質領帶。,tie_1397924728921.jpg,tie.mp3,,
triangle,traɪæŋgl,三角形,A triangle is a three-sided shape with three angles.,「三角形」是有三條邊和三個角的形狀。,The roof formed a sharp triangle.,屋頂形成一個尖銳的三角形。,triangle_1397924728921.jpg,triangle.mp3,,
T-shirt,tiːʃɜːt,T恤,"A T-shirt is a casual shirt with short sleeves and no collar shaped like a ""T"".",「T恤」是短袖、無領、形狀像「T」的休閒上衣。,He wore a plain white T-shirt under his jacket.,他在夾克裡穿了一件素面白T恤。,T-shirt_1397924728921.jpg,t-shirt.mp3,,
tuxedo,tʌk'siːdəu,燕尾服,A tuxedo is a formal black suit worn for special events like weddings or galas.,「燕尾服」是在婚禮或晚宴等特殊場合穿的正式黑色西裝。,He rented a tuxedo for the prom.,他租了一套燕尾服參加畢業舞會。,tuxedo_1397924728921.jpg,tuxedo.mp3,,
umbrella,ʌmˈbrelə,雨傘,An umbrella is a device with a folding canopy used to protect against rain or sun.,「雨傘」是帶有摺疊傘面、用來遮雨或遮陽的工具。,She opened her umbrella when it started drizzling.,開始下毛毛雨時，她打開傘。,umbrella_1397924728921.jpg,umbrella.mp3,,
underpants,ʌndəpænts,內褲,Underpants are underwear worn under clothes to cover the lower body.,「內褲」是穿在外衣下、覆蓋下半身的貼身衣物。,He packed clean underpants for the trip.,他為旅行打包了乾淨的內褲。,underpants_1397924728921.jpg,underpants_1397924728921.mp3,,
undershirt,ʌndəʃɜːt,內衣,An undershirt is a lightweight shirt worn under other clothes for comfort or sweat absorption.,「內衣」是穿在外衣下的輕薄上衣，用於舒適或吸汗。,He always wears a white undershirt in summer.,他夏天總穿白色內搭衫。,undershirt_1397924728921.jpg,undershirt.mp3,,
vest,vest,背心,A vest is a sleeveless garment worn over a shirt but under a jacket or for warmth.,「背心」是無袖衣物，可穿在襯衫外、夾克內，或單獨用於保暖。,He wore a puffer vest on the cool morning walk.,他在涼爽的早晨散步時穿了一件羽絨背心。,vest_1397924728921.jpg,vest.mp3,,
rainboots,reɪn buːts,雨靴,Rainboots are waterproof boots worn in wet weather.,「雨靴」是在潮濕天氣穿的防水靴子。,She jumped in puddles wearing bright yellow rainboots.,她穿著亮黃色雨靴跳進水窪。,rainboots_1397924728921.jpg,rainboots_1397924728921.mp3,,
raincoat,reɪnkəut,雨衣,A raincoat is a waterproof coat worn to stay dry in the rain.,「雨衣」是防水外套，用於在雨中保持乾燥。,He pulled on his raincoat before biking to work.,他騎車上班前穿上雨衣。,raincoat_1397924728921.jpg,raincoat.mp3,,
basketball,bɑːskɪtbɔːl,籃球,Basketball is a team sport where players score by throwing a ball through a hoop.,「籃球」是一種團隊運動，球員透過將球投入籃框得分。,They played basketball at the park after school.,他們放學後在公園打籃球。,basketball_1397924728921.jpg,basketball.mp3,,
boxing,bɔksɪŋ,拳擊,Boxing is a combat sport where two people punch each other with gloved hands.,「拳擊」是兩人戴拳套互相出拳的格鬥運動。,He trains in boxing three times a week.,他每週練習三次拳擊。,boxing_1397924728921.jpg,boxing.mp3,,
wrestling,reslɪŋ,摔角,Wrestling is a sport where two people try to pin each other to the ground.,「摔角」是兩人試圖將對方壓制在地上的運動。,He won the state championship in wrestling.,他贏得了州摔角冠軍。,wrestling_1397924728921.jpg,wrestling.mp3,,
yoga,jəugə,瑜伽,Yoga is a practice that combines physical postures breathing and meditation for health and relaxation.,「瑜伽」是一種結合姿勢、呼吸與冥想以促進健康和放鬆的練習。,She does yoga every morning to reduce stress.,她每天早上做瑜伽減壓。,yoga_1397924728921.jpg,yoga.mp3,,
archery,ɑːʧərɪ,射箭,Archery is the sport or skill of shooting arrows with a bow.,「射箭」是使用弓箭射擊的運動或技能。,He practices archery at the local range.,他在當地射箭場練習射箭。,archery_1397924728921.jpg,archery.mp3,,
baseball,beɪsbɔːl,棒球,Baseball is a team sport where players hit a ball with a bat and run around bases.,「棒球」是球員用球棒擊球並繞壘跑的團隊運動。,They watched a baseball game at the stadium.,他們在體育場看棒球比賽。,baseball_1397924728921.jpg,baseball.mp3,,
soccer,sɔkə,足球,Soccer is a team sport where players kick a ball to score goals.,「足球」是球員用腳踢球射門得分的團隊運動。,The kids played soccer in the backyard.,孩子們在後院踢足球。,soccer_1397924728921.jpg,soccer.mp3,,
tennis,tenɪs,網球,Tennis is a sport played with rackets and a small ball usually on a court.,「網球」是使用球拍和小球在球場上進行的運動。,She took tennis lessons last summer.,她去年夏天上網球課。,tennis_1397924728921.jpg,tennis.mp3,,
volleyball,vɔlɪbɔːl,排球,Volleyball is a team sport where players hit a ball over a net without letting it touch the ground.,「排球」是球員隔網擊球、不讓球落地的團隊運動。,They played beach volleyball on vacation.,他們度假時打沙灘排球。,volleyball_1397924728921.jpg,volleyball.mp3,,
skiing,skiːɪŋ,滑雪,Skiing is the sport of sliding down snow-covered slopes on long narrow boards.,「滑雪」是站在長而窄的滑板上從積雪坡道滑下的運動。,We went skiing in the mountains last winter.,我們去年冬天去山裡滑雪。,skiing_1397924728921.jpg,skiing.mp3,,
snowboarding,snəubɔːdɪŋ,滑板滑雪,Snowboarding is a winter sport where you ride down snow on a single wide board.,「單板滑雪」是站在一塊寬板上從雪坡滑下的冬季運動。,He loves snowboarding more than skiing.,他比起滑雪更愛單板滑雪。,snowboarding_1397924728921.jpg,snowboarding.mp3,,
camel,kæm(ə)l,駱駝,A camel is a large desert animal with one or two humps on its back.,「駱駝」是背部有一或兩個駝峰的大型沙漠動物。,Camels can go days without water in the desert.,駱駝在沙漠中可以好幾天不喝水。,camel_1397924728921.jpg,camel.mp3,,
coyote,kɔɪəut,郊狼,A coyote is a wild dog-like animal found in North America.,「郊狼」是北美洲一種類似狗的野生動物。,We heard coyotes howling at night.,我們聽到郊狼在夜晚嚎叫。,coyote_1397924728921.jpg,coyote.mp3,,
lizard,lɪzəd,蜥蜴,A lizard is a small reptile with four legs a long tail and scaly skin.,「蜥蜴」是四肢、長尾、有鱗片的小型爬蟲類。,A green lizard sunbathed on the rock.,一隻綠色蜥蜴在岩石上曬太陽。,lizard_1397924728921.jpg,lizard.mp3,,
mountain lion,ˈmaʊntɪn ˈlaɪən,山獅,A mountain lion is a large wild cat also known as a cougar or puma.,「山獅」是一種大型野生貓科動物，也稱美洲獅或美洲豹。,Mountain lions are shy and rarely seen by people.,山獅很害羞，很少被人看見。,mountain lion_1397924728921.jpg,mountain lion_1397924728921.mp3,,
scorpion,skɔːpɪən,蠍子,A scorpion is a small arachnid with a venomous stinger on its tail.,「蠍子」是尾部帶有毒刺的小型蛛形綱動物。,Be careful—there’s a scorpion under that log!,小心——那根木頭下面有蠍子！,scorpion_1397924728921.jpg,scorpion.mp3,,
flamingo,flə'mɪŋgəu,紅鶴,A flamingo is a tall pink bird with long legs and a curved beak.,「紅鶴」是高䠷的粉紅色鳥類，有長腿和彎曲的喙。,Flamingos stand on one leg in shallow water.,紅鶴在淺水中單腳站立。,flamingo_1397924728921.jpg,flamingo.mp3,,
hummingbird,hʌmɪŋbɜːd,蜂鳥,A hummingbird is a tiny bird that hovers in midair while feeding on flower nectar.,「蜂鳥」是極小的鳥類，能在空中懸停並吸食花蜜。,A hummingbird darted past the garden flowers.,一隻蜂鳥飛快掠過花園的花朵。,hummingbird_1397924728921.jpg,hummingbird.mp3,,
panther,pænθə,黑豹,A panther is a large black wild cat often a type of leopard or jaguar.,「黑豹」是大型黑色野生貓科動物，通常是花豹或美洲豹的變種。,The panther moved silently through the jungle.,黑豹無聲地穿過叢林。,panther_1397924728921.jpg,panther.mp3,,
parrot,pærət,鸚鵡,A parrot is a colorful bird that can mimic human speech.,「鸚鵡」是色彩鮮豔、能模仿人類說話的鳥類。,My uncle has a parrot that says “Hello!”,我叔叔有一隻會說「你好！」的鸚鵡。,parrot_1397924728921.jpg,parrot.mp3,,
giraffe,ʤɪ'rɑːf,長頸鹿,A giraffe is a tall African animal with a very long neck and spotted coat.,「長頸鹿」是非洲高大的動物，有極長的脖子和斑點皮毛。,Giraffes eat leaves from the tops of trees.,長頸鹿吃樹頂的葉子。,giraffe_1397924728921.jpg,giraffe.mp3,,
hippopotamus,ˌhɪpə'pɔtəməs,河馬,A hippopotamus is a large thick-skinned mammal that lives in rivers in Africa.,「河馬」是皮膚厚實、生活在非洲河流中的大型哺乳動物。,Hippos spend most of the day in water.,河馬一天大部分時間待在水裡。,hippopotamus_1397924728921.jpg,hippopotamus.mp3,,
hyena,haɪ'iːnə,鬣狗,A hyena is a wild animal known for its loud laughing call.,「鬣狗」是以大聲「笑叫」聞名的野生動物。,Hyenas hunt in groups at night.,鬣狗在夜間成群狩獵。,hyena_1397924728921.jpg,hyena.mp3,,
ostrich,ɔstrɪʧ,鴕鳥,An ostrich is a very large flightless bird with long legs and a long neck.,「鴕鳥」是非常巨大的不會飛的鳥，有長腿和長脖子。,Ostriches can run faster than most animals.,鴕鳥跑得比大多數動物都快。,ostrich_1397924728921.jpg,ostrich.mp3,,
rhinoceros,raɪ'nɔs(ə)rəs,犀牛,A rhinoceros is a huge gray mammal with one or two horns on its nose.,「犀牛」是巨大的灰色哺乳動物，鼻子上有單角或雙角。,Rhinos are endangered due to poaching.,犀牛因盜獵而瀕臨絕種。,rhinoceros_1397924728921.jpg,rhinoceros_1397924728921.mp3,,
otter,ɔtə,水獺,An otter is a playful aquatic mammal that lives near rivers and coasts.,「水獺」是活潑的水生哺乳動物，生活在河岸或海岸附近。,Otters float on their backs while eating shellfish.,水獺吃貝類時仰躺在水面。,otter_1397924728921.jpg,otter.mp3,,
penguin,peŋgwɪn,企鵝,A penguin is a flightless bird that lives in cold regions and swims well.,「企鵝」是不會飛的鳥類，生活在寒冷地區且擅長游泳。,Penguins waddle on land but glide smoothly in water.,企鵝在陸地上搖擺行走，在水中則滑行自如。,penguin_1397924728921.jpg,penguin.mp3,,
polar bear,ˈpəʊlə beə,北極熊,A polar bear is a large white bear that lives in the Arctic.,「北極熊」是生活在北極的大型白色熊類。,Polar bears hunt seals on sea ice.,北極熊在海冰上獵捕海豹。,polar bear_1397924728921.jpg,polar bear_1397924728921.mp3,,
reindeer,reɪndɪə,馴鹿,A reindeer is a deer with large antlers found in cold northern regions.,「馴鹿」是生活在寒冷北方、有大型鹿角的鹿。,Santa’s sleigh is pulled by reindeer.,聖誕老人的雪橇由馴鹿拉動。,reindeer_1397924728921.jpg,reindeer.mp3,,
seal,siːl,海豹,A seal is a marine mammal with flippers and a sleek body.,「海豹」是有鰭狀肢和流線型身體的海洋哺乳動物。,Seals bark loudly on rocky shores.,海豹在岩石海岸上大聲吠叫。,seal_1397924728921.jpg,seal.mp3,,
wolf,wulf,狼,A wolf is a wild dog that hunts in packs and howls at night.,「狼」是群居狩獵、夜間嚎叫的野生犬科動物。,Wolves live in forests and mountains.,狼住在森林和山區。,wolf_1397924728921.jpg,wolf.mp3,,
blowfish,ˈbləʊfɪʃ,河豚,A blowfish is a spiky fish that inflates itself when threatened.,「河豚」是受到威脅時會鼓脹起來的帶刺魚類。,Blowfish can be poisonous if not prepared correctly.,河豚若處理不當可能有毒。,blowfish_1397924728921.jpg,blowfish_1397924728921.mp3,,
octopus,ɔktəpəs,章魚,An octopus is a sea creature with eight arms and a soft body.,「章魚」是有八隻觸手和柔軟身體的海洋生物。,The octopus hid in a coral reef.,章魚躲在珊瑚礁裡。,octopus_1397924728921.jpg,octopus.mp3,,
sea urchin,siːˌɜːʧɪn,海膽,A sea urchin is a small spiny ocean animal that lives on the seafloor.,「海膽」是生活在海底、帶有尖刺的小型海洋動物。,Sea urchins move slowly using tiny tube feet.,海膽用細小的管足緩慢移動。,sea urchin_1397924728921.jpg,sea urchin_1397924728921.mp3,,
seagull,siːgʌl,海鷗,A seagull is a common seabird often seen near beaches and harbors.,「海鷗」是常見於海灘和港口的海鳥。,Seagulls squawked as they flew over the pier.,海鷗飛過碼頭時嘎嘎叫。,seagull_1397924728921.jpg,seagull.mp3,,
shark,ʃɑːk,鯊魚,A shark is a large powerful fish with sharp teeth and a streamlined body.,「鯊魚」是牙齒鋒利、身體流線型的大型強壯魚類。,Great white sharks are feared but rarely attack humans.,大白鯊令人害怕，但很少攻擊人類。,shark_1397924728921.jpg,shark.mp3,,
squid,skwɪd,魷魚,A squid is a sea creature with ten arms and a soft body related to the octopus.,「魷魚」是有十隻觸手、身體柔軟、與章魚相關的海洋生物。,Squid can shoot ink to escape predators.,魷魚會噴墨逃離掠食者。,squid_1397924728921.jpg,squid.mp3,,
starfish,stɑːfɪʃ,海星,A starfish is a star-shaped sea animal with five or more arms.,「海星」是星形、有五隻或更多腕足的海洋動物。,Children love finding starfish in tide pools.,孩子們喜歡在潮池裡找海星。,starfish_1397924728921.jpg,starfish.mp3,,
whale,(h)weɪl,鯨魚,A whale is a massive marine mammal that breathes air and swims in oceans.,「鯨魚」是巨大的海洋哺乳動物，用肺呼吸並在海洋中游泳。,Humpback whales sing complex songs underwater.,座頭鯨在水下唱複雜的歌。,whale_1397924728921.jpg,whale.mp3,,
beaver,biːvə,海狸,A beaver is a rodent known for building dams in rivers with wood and mud.,「河狸」是以用木頭和泥土在河中築壩聞名的嚙齒類動物。,Beavers have strong teeth for cutting trees.,海狸有強壯的牙齒可咬斷樹木。,beaver_1397924728921.jpg,beaver.mp3,,
bobcat,bɔbkæt,山貓,A bobcat is a medium-sized wild cat with tufted ears and a short tail.,「短尾貓」是中型野生貓科動物，耳朵有簇毛、尾巴短。,Bobcats are excellent climbers and hunters.,山貓是出色的攀爬者和獵手。,bobcat_1397924728921.jpg,bobcat.mp3,,
mole,məul,鼴鼠,A mole is a small burrowing mammal with tiny eyes and strong digging claws.,「鼴鼠」是眼睛小、挖掘爪強壯的穴居小型哺乳動物。,Moles create tunnels in lawns and gardens.,鼴鼠在草坪和花園挖隧道。,mole_1397924728921.jpg,mole.mp3,,
opossum,ə'pɔsəm,負鼠,An opossum is a North American marsupial that plays dead when scared.,「負鼠」是北美洲的有袋類動物，受驚時會假死。,The opossum hissed and then lay motionless.,負鼠嘶嘶叫，然後一動也不動。,opossum_1397924728921.jpg,opossum.mp3,,
porcupine,pɔːkjəpaɪn,豪豬,A porcupine is a rodent covered in sharp quills for defense.,「豪豬」是全身覆蓋尖刺以防禦的嚙齒類動物。,Porcupines cannot shoot their quills despite the myth.,豪豬不能像傳說那樣射出刺。,porcupine_1397924728921.jpg,porcupine.mp3,,
robin,rɔbɪn,知更鳥,A robin is a small bird with a red-orange breast common in gardens.,「知更鳥」是胸部呈紅橙色、常見於花園的小鳥。,Robins hop on lawns looking for worms.,知更鳥在草坪上跳躍尋找蚯蚓。,robin_1397924728921.jpg,robin.mp3,,
skunk,skʌŋk,臭鼬,A skunk is a small mammal that sprays a foul-smelling liquid when threatened.,「臭鼬」是受威脅時會噴出惡臭液體的小型哺乳動物。,Don’t get too close—a skunk might spray!,別靠太近——臭鼬可能會噴液！,skunk_1397924728921.jpg,skunk.mp3,,
squirrel,skwɪr(ə)l,松鼠,A squirrel is a small bushy-tailed rodent that climbs trees and eats nuts.,「松鼠」是尾巴蓬鬆、會爬樹並吃堅果的小型嚙齒類動物。,Squirrels buried acorns in our backyard.,松鼠把橡果埋在我們後院。,squirrel_1397924728921.jpg,squirrel.mp3,,
woodpecker,wudˌpekə,啄木鳥,A woodpecker is a bird that pecks holes in trees to find insects.,「啄木鳥」是會啄樹幹找昆蟲吃的鳥類。,We heard a woodpecker drumming on the old oak.,我們聽到啄木鳥敲打老橡樹。,woodpecker_1397924728921.jpg,woodpecker.mp3,,
butterfly,bʌtəflaɪ,蝴蝶,A butterfly is a flying insect with large colorful wings.,「蝴蝶」是有大型彩色翅膀的飛行昆蟲。,Butterflies flutter among summer flowers.,蝴蝶在夏日花朵間翩翩飛舞。,butterfly_1397924728921.jpg,butterfly.mp3,,
dragonfly,dræg(ə)nflaɪ,蜻蜓,A dragonfly is a fast-flying insect with a long body and transparent wings.,「蜻蜓」是身體細長、翅膀透明、飛行迅速的昆蟲。,Dragonflies hover over ponds catching mosquitoes.,蜻蜓在池塘上盤旋捕捉蚊子。,dragonfly_1397924728921.jpg,dragonfly_1397924728921.mp3,,
